,anchor_id,group,xmin,ymin,xmax,ymax,has_algorithmic_boundary,coords_x,coords_y,bbox_area,color
0,"13165,56607,13187,56630_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",plasma_cell,90,211,118,239,0,"90,118,118,90,90","211,211,239,239,211",506,"rgb(0,255,255)"
1,"13280,56542,13301,56562_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",plasma_cell,233,127,258,156,1,"233,236,241,247,252,253,258,258,255,249,247,238,237,233,233","137,132,127,127,129,130,137,144,150,155,156,154,152,144,137",460,"rgb(0,255,255)"
2,"13319,56459,13338,56483_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",lymphocyte,282,27,303,53,1,"296,287,284,282,282,285,290,296,303,303,296","53,52,48,42,36,32,27,29,37,48,53",357,"rgb(0,0,255)"
3,"13156,56697,13175,56719_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",lymphocyte,78,323,103,350,1,"103,99,89,85,79,78,78,79,84,85,91,96,100,103","334,339,350,349,345,340,334,330,324,323,323,324,328,334",440,"rgb(0,0,255)"
4,"13353,56676,13371,56694_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",lymphocyte,323,294,344,323,1,"323,325,329,332,341,344,344,340,330,326,323","319,298,294,294,294,298,316,323,323,321,319",391,"rgb(0,0,255)"
5,"13204,56523,13220,56541_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",plasma_cell,139,106,159,129,0,"139,159,159,139,139","106,106,129,129,106",288,"rgb(0,255,255)"
6,"13205,56631,13232,56651_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",plasma_cell,141,226,177,265,1,"177,168,167,162,152,144,141,142,146,151,165,168,171,173,176,177","237,262,263,265,265,262,257,247,237,232,226,226,226,229,232,237",928,"rgb(0,255,255)"
7,"13305,56556,13325,56571_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",lymphocyte,264,147,289,166,0,"264,289,289,264,264","147,147,166,166,147",300,"rgb(0,0,255)"
8,"13206,56487,13222,56501_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",lymphocyte,141,62,161,79,0,"141,161,161,141,141","62,62,79,79,62",224,"rgb(0,0,255)"
9,"13319,56686,13346,56710_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",lymphocyte,283,306,311,342,1,"304,306,310,311,310,308,305,293,287,283,283,284,294,300,304","306,308,314,319,330,335,337,342,340,335,332,324,311,308,306",667,"rgb(0,0,255)"
