Iteration,Ground_Truth_Count,Predicted_Count,Recall (%),Precision (%),sTILS Density (%),Time_Duration(sec)
0,19,149,100.0,12.751677852348994,71.8557098765432,833.0694229602814
1,19,150,100.0,12.666666666666668,72.33796296296296,878.0663695335388
2,19,126,100.0,15.079365079365079,60.763888888888886,921.7298939228058
3,19,97,100.0,19.587628865979383,46.77854938271605,965.4964106082916
4,19,84,100.0,22.61904761904762,40.50925925925926,1009.1457033157349
5,19,85,100.0,22.35294117647059,40.99151234567901,1052.894826412201
6,19,93,100.0,20.43010752688172,44.84953703703704,1097.2665050029755
7,19,71,100.0,26.76056338028169,34.23996913580247,1141.534364938736
8,19,93,100.0,20.43010752688172,44.84953703703704,1185.3717720508575
9,19,82,100.0,23.170731707317074,39.54475308641975,1229.0858619213104
10,19,71,100.0,26.76056338028169,34.23996913580247,1272.6378560066223
11,19,58,100.0,32.758620689655174,27.970679012345677,1316.2189092636108
12,19,55,100.0,34.54545454545455,26.52391975308642,1360.3495743274689
13,19,52,100.0,36.53846153846153,25.07716049382716,1403.9606399536133
14,19,49,100.0,38.775510204081634,23.630401234567902,1447.6977200508118
15,19,47,100.0,40.42553191489361,22.665895061728396,1492.6483187675476
16,19,43,100.0,44.18604651162791,20.736882716049383,1538.311329126358
17,19,43,100.0,44.18604651162791,20.736882716049383,1583.0039935112
18,19,46,100.0,41.30434782608695,22.183641975308642,1627.1338996887207
19,19,43,94.73684210526315,41.86046511627907,20.736882716049383,1671.1819636821747
20,19,39,100.0,48.717948717948715,18.80787037037037,1715.3452730178833
21,19,39,94.73684210526315,46.15384615384615,18.80787037037037,1759.4387516975403
22,19,37,94.73684210526315,48.64864864864865,17.843364197530864,1804.310310125351
23,19,38,94.73684210526315,47.368421052631575,18.325617283950617,1849.0120220184326
24,19,35,94.73684210526315,51.42857142857142,16.878858024691358,1893.3843581676483
25,19,36,94.73684210526315,50.0,17.36111111111111,1937.9911305904388
26,19,104,100.0,18.269230769230766,50.15432098765432,1983.2000064849854
27,19,31,94.73684210526315,58.06451612903226,14.949845679012347,2027.1264278888702
28,19,30,94.73684210526315,60.0,14.467592592592593,2072.368612766266
29,19,30,94.73684210526315,60.0,14.467592592592593,2116.929166316986
30,19,30,94.73684210526315,60.0,14.467592592592593,2161.1133687496185
31,19,29,94.73684210526315,62.06896551724138,13.985339506172838,2204.942472934723
32,19,29,94.73684210526315,62.06896551724138,13.985339506172838,2249.5835330486298
33,19,29,94.73684210526315,62.06896551724138,13.985339506172838,2294.0066907405853
34,19,29,94.73684210526315,62.06896551724138,13.985339506172838,2338.0155172348022
35,19,29,94.73684210526315,62.06896551724138,13.985339506172838,2382.1592581272125
36,19,254,100.0,7.480314960629922,122.49228395061729,2426.5249688625336
37,19,84,100.0,22.61904761904762,40.50925925925926,2471.5206429958344
38,19,71,100.0,26.76056338028169,34.23996913580247,2515.7674124240875
39,19,64,100.0,29.6875,30.864197530864196,2559.3607308864594
40,19,66,100.0,28.78787878787879,31.828703703703702,2603.6766171455383
41,19,50,94.73684210526315,36.0,24.11265432098765,2647.4556839466095
42,19,42,94.73684210526315,42.857142857142854,20.25462962962963,2691.9653429985046
43,19,39,94.73684210526315,46.15384615384615,18.80787037037037,2736.2110171318054
44,19,37,94.73684210526315,48.64864864864865,17.843364197530864,2780.111226081848
45,19,34,94.73684210526315,52.94117647058824,16.396604938271604,2824.2905657291412
46,19,31,94.73684210526315,58.06451612903226,14.949845679012347,2868.1347029209137
47,19,35,94.73684210526315,51.42857142857142,16.878858024691358,2912.6855068206787
48,19,34,94.73684210526315,52.94117647058824,16.396604938271604,2956.7270832061768
49,19,30,94.73684210526315,60.0,14.467592592592593,3000.8610463142395
50,19,31,94.73684210526315,58.06451612903226,14.949845679012347,3045.2303318977356
51,19,30,94.73684210526315,60.0,14.467592592592593,3089.6128084659576
52,19,30,94.73684210526315,60.0,14.467592592592593,3133.2641530036926
53,19,30,94.73684210526315,60.0,14.467592592592593,3177.735073328018
54,19,30,94.73684210526315,60.0,14.467592592592593,3221.4978625774384
55,19,32,100.0,59.375,15.432098765432098,3265.021247148514
56,19,31,94.73684210526315,58.06451612903226,14.949845679012347,3309.494704246521
57,19,30,94.73684210526315,60.0,14.467592592592593,3354.1332104206085
58,19,30,94.73684210526315,60.0,14.467592592592593,3397.5942301750183
59,19,31,94.73684210526315,58.06451612903226,14.949845679012347,3440.940200805664
60,19,30,94.73684210526315,60.0,14.467592592592593,3485.268983602524
61,19,30,94.73684210526315,60.0,14.467592592592593,3528.690234184265
62,19,30,94.73684210526315,60.0,14.467592592592593,3572.321799516678
63,19,30,94.73684210526315,60.0,14.467592592592593,3615.606186389923
64,19,30,94.73684210526315,60.0,14.467592592592593,3658.7474801540375
65,19,30,94.73684210526315,60.0,14.467592592592593,3701.648502111435
66,19,30,94.73684210526315,60.0,14.467592592592593,3744.8015320301056
67,19,30,94.73684210526315,60.0,14.467592592592593,3788.1381437778473
68,19,30,94.73684210526315,60.0,14.467592592592593,3818.6835417747498
69,19,30,94.73684210526315,60.0,14.467592592592593,3819.691816806793
70,19,30,94.73684210526315,60.0,14.467592592592593,3820.7082347869873
71,19,30,94.73684210526315,60.0,14.467592592592593,3821.7169859409332
72,19,30,94.73684210526315,60.0,14.467592592592593,3822.7256224155426
73,19,30,94.73684210526315,60.0,14.467592592592593,3823.7436802387238
74,19,30,94.73684210526315,60.0,14.467592592592593,3824.745500087738
75,19,30,94.73684210526315,60.0,14.467592592592593,3825.743771314621
76,19,30,94.73684210526315,60.0,14.467592592592593,3826.768051624298
77,19,30,94.73684210526315,60.0,14.467592592592593,3827.8120601177216
78,19,30,94.73684210526315,60.0,14.467592592592593,3828.8430733680725
79,19,30,94.73684210526315,60.0,14.467592592592593,3829.87495303154
80,19,30,94.73684210526315,60.0,14.467592592592593,3830.9002299308777
81,19,30,94.73684210526315,60.0,14.467592592592593,3831.9432232379913
82,19,30,94.73684210526315,60.0,14.467592592592593,3832.9587786197662
83,19,30,94.73684210526315,60.0,14.467592592592593,3833.9948024749756
84,19,30,94.73684210526315,60.0,14.467592592592593,3835.031140089035
85,19,30,94.73684210526315,60.0,14.467592592592593,3836.066794872284
86,19,30,94.73684210526315,60.0,14.467592592592593,3837.1349744796753
87,19,30,94.73684210526315,60.0,14.467592592592593,3838.170380592346
88,19,30,94.73684210526315,60.0,14.467592592592593,3839.2007088661194
89,19,30,94.73684210526315,60.0,14.467592592592593,3840.2349660396576
90,19,30,94.73684210526315,60.0,14.467592592592593,3841.2787532806396
91,19,30,94.73684210526315,60.0,14.467592592592593,3842.2909719944
92,19,30,94.73684210526315,60.0,14.467592592592593,3843.2948167324066
93,19,30,94.73684210526315,60.0,14.467592592592593,3844.328437805176
94,19,30,94.73684210526315,60.0,14.467592592592593,3845.3952600955963
95,19,30,94.73684210526315,60.0,14.467592592592593,3846.4209611415863
96,19,30,94.73684210526315,60.0,14.467592592592593,3847.4556136131287
97,19,30,94.73684210526315,60.0,14.467592592592593,3848.495036125183
98,19,30,94.73684210526315,60.0,14.467592592592593,3849.5587270259857
99,19,30,94.73684210526315,60.0,14.467592592592593,3850.596020460129
100,19,30,94.73684210526315,60.0,14.467592592592593,3851.6379537582397
